Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train MCC,Test MCC,Train ROC AUC,Test ROC AUC
Logistic Regression,0.8612582781456953,0.8235099337748344,0.8781629116117851,0.8329925017041582,0.838907284768212,0.8092715231788079,0.8580863674851821,0.8209606986899564,0.7232395307139039,0.6472823709129858,0.9363209398710581,0.893491732818736
Decision Tree,0.9767384105960265,0.7493377483443708,0.9960378983634798,0.7504990019960079,0.9572847682119205,0.7470198675496689,0.976276910088645,0.7487553932957186,0.9541993171182496,0.4986808551145087,0.9988951279549143,0.756327573352046
Random Forest,0.9767384105960265,0.8009933774834437,0.9809587439452147,0.8627294493216281,0.9723509933774834,0.7158940397350994,0.97663590255259,0.7824828085414405,0.9535135310823655,0.6108999266284783,0.9987182990877593,0.8544063856848384
Gradient Boosting,0.8505794701986755,0.8039735099337748,0.8861936895859931,0.8425373134328358,0.8044701986754967,0.747682119205298,0.8433567647314067,0.7922807017543859,0.7041595110962843,0.6118368652510001,0.9285215012499451,0.8839195649313628
XGBoost,0.9767384105960265,0.8248344370860927,0.9828945161831293,0.8437281009110021,0.970364238410596,0.7973509933774835,0.9765891860368241,0.8198842356145727,0.9535543102993229,0.6506525451078774,0.9988865482873558,0.8947261085040129
Support Vector Machine,0.9043046357615894,0.8523178807947019,0.9204545454545454,0.8663911845730028,0.8850993377483444,0.833112582781457,0.9024307900067522,0.849426063470628,0.8092064328837285,0.7051561380739453,0.9685928659927198,0.9164497171176703
K-Nearest Neighbors,0.8690397350993377,0.7983443708609271,0.8902310924369747,0.817477096546864,0.8418874172185431,0.7682119205298014,0.8653846153846154,0.7920792079207921,0.7391701789292857,0.5977752466082003,0.9488625224770844,0.873276172097715
Naive Bayes,0.6138245033112583,0.6172185430463576,0.6039618932405867,0.6092592592592593,0.6612582781456954,0.6536423841059603,0.6313127321583815,0.6306709265175718,0.22868037718560785,0.23506162650243076,0.6400011238542169,0.6467771150388141
Deep Neural Network,0.9373344370860928,0.8417218543046358,0.9431303472571716,0.844,0.930794701986755,0.83841059602649,0.9369219231730689,0.8411960132890366,0.8747436996860436,0.6834586962455627,0.9793753563440201,0.9078303583176177
